server_hostname,server_ip
cust01-npr01-ftp10-mft-1612173732,10.236.5.149  
cust01-npr01-ftp10-mft-1612173738,10.236.5.150  
cust01-npr08-ftp01-mft-1613984759,10.236.4.204  
cust01-npr08-ftp01-mft-1613984764,10.236.4.203  
cust01-npr50-ftp01-mft-1619181680,10.236.5.86   
cust01-npr50-ftp01-mft-1619181685,10.236.5.87   
cust01-npr60-ftp01-mft-1618248742,10.236.4.12   
cust01-npr60-ftp01-mft-1618248747,10.236.4.61   
cust01-prd01-ftp10-mft-1614274942,10.236.4.220  
cust01-prd01-ftp10-mft-1614274948,10.236.4.219  
cust01-prd02-ftp05-mft-1613632391,10.236.2.25   
cust01-prd02-ftp05-mft-1613632396,10.236.3.77   
cust01-prd03-ftp15-mft-1613631816,10.236.2.24   
cust01-prd03-ftp15-mft-1613631823,10.236.2.26   
cust01-prd04-ftp05-mft-1614268759,10.236.4.209  
cust01-prd04-ftp05-mft-1614268764,10.236.4.210  
cust01-prd05-ftp05-mft-1614268790,10.236.4.212  
cust01-prd05-ftp05-mft-1614268795,10.236.4.214  
cust01-prd06-ftp11-mft-1611302908,10.236.3.84   
cust01-prd06-ftp11-mft-1611302915,10.236.2.199  
cust01-prd07-ftp10-mft-1611158543,10.236.2.67   
cust01-prd07-ftp10-mft-1611158548,10.236.2.41   
cust01-prd08-ftp01-mft-1614716160,10.236.4.243  
cust01-prd08-ftp01-mft-1614716165,10.236.4.244  
cust01-prd09-ftp01-mft-1629863757,10.236.5.141  
cust01-prd09-ftp01-mft-1629863772,10.236.5.144  
cust01-prd50-ftp05-mft-1614716687,10.236.4.250  
cust01-prd50-ftp05-mft-1614716692,10.236.4.248  
cust02-npr01-ftp01-mft-1621585612,10.236.243.211
cust02-npr01-ftp01-mft-1621585617,10.236.243.212
cust02-prd01-ftp10-mft-1612518576,10.236.242.108
cust02-prd01-ftp10-mft-1612518581,10.236.242.107
cust03-npr01-ftp01-mft-1611576240,10.236.162.244
cust03-npr01-ftp01-mft-1611576244,10.236.162.245
cust03-prd01-ftp10-mft-1613071844,10.236.163.206
cust03-prd01-ftp10-mft-1613071849,10.236.163.210
cust04-npr01-ftp01-mft-1619516757,10.236.83.226 
cust04-npr01-ftp01-mft-1619516763,10.236.83.227 
cust04-prd01-ftp10-mft-1613121792,10.236.82.172 
cust04-prd01-ftp10-mft-1613121798,10.236.82.170 
